,EP013002_K10,EP031863_K10,EP036702_K10,EP070043_K10,EP075428_K10,EP077500_K10,EP081373_K10,EP081859_K10,EP086024_K10,EP086560_K10,EP094101_K10,EP096310_K70,EP113600_K10,EP119655_K10,EP123585_K10,EP123900_K10,EP145184_K10,EP181675_K10,EP191772_K10,EP191897_K10,EP201349_K10,EP202463_K10,EP203336_K10,EP206375_K10,EP207166_K10,EP211731_K10,EP216429_K10,EP217091_K10,EP218239_K10,EP222037_K10,EP223167_K10,EP240606_K10,EP246574_K10,EP271595_K40,EP273248_K10,EP283033_K10,EP285935_K10,EP286550_K10,EP286906_K10,EP288001_K10,EP288825_K10,EP290639_K10,EP293533_K10,EP296970_K10,EP311701_K10,EP318569_K10,EP323428_K10,EP336335_K10,EP338059_K10,EP346571_K10,EP351505_K10,EP356729_K10,EP356792_K10,EP362253_K10,EP362721_K10,EP367695_K10,EP373403_K80,EP376101_K10,EP388069_K10,EP391714_K10,EP392045_K10,EP392047_K10,EP395934_K10,EP409071_K30,EP426527_K50,EP428956_K10,EP438112_K10,EP460410_K10,EP460880_K10,EP470665_K10,EP470960_K10,EP479947_K10,EP482764_K10,EP483320_K10,EP483881_K10,EP487163_K10,EP488403_K10,EP489199_K30,EP491593_K10,EP505314_K10,EP509951_K10,EP516732_K10,EP516855_K10,EP521049_K10,EP523733_K10,EP523733_K20,EP524246_K110,EP533526_K10,EP537290_K10,EP542373_K10,EP543629_K10,EP543835_K70,EP547297_K10,EP548439_K10,EP550598_K10,EP557758_K10,EP557758_K20,EP558013_K10,EP580652_K10,EP583097_K10,EP584156_K10,EP584193_K10,EP590973_K10,EP596677_K10,EP598179_K10,EP601434_K10,EP603614_K10,EP604654_K10,EP607311_K10,EP608013_K10,EP612207_K10,EP612777_K10,EP622785_K10,EP622928_K10,EP628259_K10,EP631955_K40,EP641566_K200,EP642999_K10,EP647247_K10,EP649700_K20,EP659201_K10,EP673071_K10,EP708835_K100,EP716298_K10,EP718673_K10,EP719882_K60,EP745494_K10,EP747703_K10,EP754016_K10,EP761009_K10,EP769777_K10,EP772621_K10,EP785033_K10,EP791691_K10,EP791888_K10,EP792982_K10,EP794231_K10,EP799931_K10,EP824738_K10,EP841683_K10,EP841683_K50,EP843963_K10,EP850673_K10,EP863344_K10,EP869708_K10,EP882960_K10,EP883575_K10,EP889264_K10,EP891353_K10,EP903758_K10,EP929440_K10,EP933492_K10,EP934299_K10,EP936022_K10,EP944038_K10,EP949081_K10,EP949081_K50,EP960606_K10,EP972800_K10,EP983489_K10,EP989401_K20,EP992349_K10
105409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1065387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0
1076969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1078207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1086582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1105876,4.0,0,0,0,0,120.0,162.0,331.0,0,6.0,0,0,0,0,0,484.0,0,3.0,2.0,248.0,0,0,0,9.0,48.0,0,0,0,355.0,227.0,0,0,0,0,0,211.0,0,0,0,4.0,1.0,0,0,1607.0,0,1.0,0,0,0,0,156.0,638.0,1.0,20.0,990.0,0,0,354.0,621.0,66.0,0,0,1.0,0,0,0,107.0,1.0,225.0,5.0,377.0,0,731.0,15.0,409.0,0,0,0,3.0,163.0,76.0,411.0,92.0,0,0,0,1.0,196.0,913.0,675.0,12.0,184.0,760.0,92.0,0,14.0,0,563.0,3.0,84.0,0,1.0,1.0,0,0,17.0,2.0,0,0,326.0,0,0,0,1817.0,0,0,0,0,0,0,6.0,795.0,0,2138.0,0,0,0,7.0,925.0,0,0,0,0,430.0,459.0,0,26.0,0,139.0,0,72.0,586.0,1.0,0,441.0,260.0,92.0,60.0,96.0,0,63.0,0,162.0,115.0,16.0,0,513.0,60.0,177.0,3.0,24.0,0
1106060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106150,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108638,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108679,1.0,0,0,0,3.0,0,0,0,4.0,0,3.0,1.0,0,0,0,0,1.0,120.0,1.0,1.0,0,1.0,15.0,0,0,3.0,1.0,0,0,1.0,0,1.0,0,2.0,0,0,0,0,0,1.0,1.0,0,0,0,0,0,1.0,1.0,2.0,1.0,0,0,1.0,0,0,3.0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,1.0,1.0,0,0,0,0,0,0,2.0,9.0,0,0,0,0,2.0,146.0,11.0,0,0,0,1.0,0,0,0,0,0,0,0,19.0,0,1.0,15.0,4.0,1.0,3.0,0,1.0,16.0,0,0,1.0,5.0,0,0,1.0,11.0,0,0,1.0,0,0,0,0,7.0,0,0,0,1.0,0,0,0,0,1.0,3.0,0,0,0,1.0,0,0,1.0,0,13696.0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
1109247,2.0,0,0,0,1.0,2.0,0,0,0,0,2.0,0,1.0,2.0,0,2.0,0,67.0,0,0,2.0,1.0,42.0,0,0,5.0,0,0,0,0,0,2.0,0,5.0,0,2.0,0,1.0,1.0,1.0,2.0,0,0,1.0,0,2.0,0,0,0,3.0,0,8.0,1.0,0,0,2.0,0,0,0,2.0,1.0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0,0,0,2.0,38.0,21.0,0,0,10.0,3.0,1.0,0,2.0,0,1.0,1.0,0,4.0,2.0,3.0,9.0,0,0,1.0,0,2.0,3.0,1.0,1.0,0,8.0,0,0,1.0,26.0,2.0,0,6.0,5.0,0,1.0,0,1.0,0,0,0,1.0,0,0,0,1.0,2.0,0,1.0,0,1.0,0,0,0,0,0,36027.0,0,0,0,0,0,1.0,0,0,0,0,1.0,0,0,0,0,0,0,1.0,5.0
1109362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
1111847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,4.0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,1.0,0,0,0,0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1115121,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,2401.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,0,1116.0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,0,0,0,0,0,125.0,0,48.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.0,0,0,0,2.0,0,0,0,26.0,0,0,9.0,13.0,0,0,0,0,0,0,0,0
